gene_id,gene_name,gene_type,chr,X1kb_up_tss_start,strand,number_of_dbp
ENSG00000243485.5,MIR1302-2HG,lncRNA,chr1,28554,+,0
ENSG00000237613.2,FAM138A,lncRNA,chr1,35082,-,0
ENSG00000186092.6,OR4F5,protein_coding,chr1,64419,+,0
ENSG00000238009.6,AL627309.1,lncRNA,chr1,132724,-,0
ENSG00000239945.1,AL627309.3,lncRNA,chr1,90106,-,0
ENSG00000239906.1,AL627309.2,lncRNA,chr1,139340,-,0
ENSG00000241860.7,AL627309.5,lncRNA,chr1,172863,-,0
ENSG00000241599.1,AL627309.4,lncRNA,chr1,159446,+,0
ENSG00000286448.1,AP006222.2,lncRNA,chr1,265855,+,0
ENSG00000236601.2,AL732372.1,lncRNA,chr1,357857,+,0
ENSG00000284733.1,OR4F29,protein_coding,chr1,450698,-,0
ENSG00000235146.2,AC114498.1,lncRNA,chr1,586629,+,0
ENSG00000284662.1,OR4F16,protein_coding,chr1,685674,-,0
ENSG00000229905.1,AL669831.2,lncRNA,chr1,759911,+,0
ENSG00000237491.10,LINC01409,lncRNA,chr1,777747,+,0
ENSG00000177757.2,FAM87B,lncRNA,chr1,816371,+,0
ENSG00000228794.9,LINC01128,lncRNA,chr1,824138,+,0
ENSG00000225880.5,LINC00115,lncRNA,chr1,826523,-,1
ENSG00000230368.2,FAM41C,lncRNA,chr1,875904,-,0
ENSG00000272438.1,AL645608.6,lncRNA,chr1,903834,+,3
ENSG00000230699.2,AL645608.2,lncRNA,chr1,910435,+,0
ENSG00000241180.1,AL645608.4,lncRNA,chr1,913171,+,2
ENSG00000223764.2,LINC02593,lncRNA,chr1,920017,-,1
ENSG00000187634.12,SAMD11,protein_coding,chr1,922928,+,3
ENSG00000188976.11,NOC2L,protein_coding,chr1,958310,-,1
ENSG00000187961.14,KLHL17,protein_coding,chr1,959584,+,5
ENSG00000187583.11,PLEKHN1,protein_coding,chr1,965482,+,2
ENSG00000187642.9,PERM1,protein_coding,chr1,981094,-,0
ENSG00000272512.1,AL645608.7,lncRNA,chr1,997052,-,0
ENSG00000188290.10,HES4,protein_coding,chr1,999173,-,1
ENSG00000187608.10,ISG15,protein_coding,chr1,1000138,+,5
ENSG00000224969.1,AL645608.1,lncRNA,chr1,1012194,-,1
ENSG00000188157.15,AGRN,protein_coding,chr1,1019120,+,6
ENSG00000242590.1,AL645608.5,lncRNA,chr1,1054033,+,1
ENSG00000273443.1,AL645608.8,lncRNA,chr1,1062289,-,2
ENSG00000237330.3,RNF223,protein_coding,chr1,1073307,-,0
ENSG00000131591.17,C1orf159,protein_coding,chr1,1115362,-,2
ENSG00000285812.1,AL390719.3,lncRNA,chr1,1096585,+,0
ENSG00000223823.1,LINC01342,lncRNA,chr1,1136017,+,0
ENSG00000272141.1,AL390719.2,lncRNA,chr1,1168357,+,4
ENSG00000205231.1,TTLL10-AS1,lncRNA,chr1,1178556,-,0
ENSG00000162571.13,TTLL10,protein_coding,chr1,1172884,+,2
ENSG00000186891.14,TNFRSF18,protein_coding,chr1,1205593,-,0
ENSG00000186827.11,TNFRSF4,protein_coding,chr1,1213154,-,0
ENSG00000078808.17,SDF4,protein_coding,chr1,1231068,-,2
ENSG00000176022.7,B3GALT6,protein_coding,chr1,1231237,+,5
ENSG00000184163.3,C1QTNF12,protein_coding,chr1,1245723,-,0
ENSG00000260179.1,AL162741.1,lncRNA,chr1,1250335,-,0
ENSG00000160087.20,UBE2J2,protein_coding,chr1,1272886,-,2
ENSG00000230415.1,LINC01786,lncRNA,chr1,1274223,+,3
ENSG00000162572.21,SCNN1D,protein_coding,chr1,1279436,+,0
ENSG00000131584.19,ACAP3,protein_coding,chr1,1308610,-,1
ENSG00000169972.12,PUSL1,protein_coding,chr1,1307597,+,7
ENSG00000127054.20,INTS11,protein_coding,chr1,1323692,-,2
ENSG00000240731.1,AL139287.1,lncRNA,chr1,1317690,-,0
ENSG00000224051.7,CPTP,protein_coding,chr1,1323756,+,6
ENSG00000169962.5,TAS1R3,protein_coding,chr1,1330280,+,3
ENSG00000107404.20,DVL1,protein_coding,chr1,1348419,-,0
ENSG00000162576.16,MXRA8,protein_coding,chr1,1360778,-,1
ENSG00000175756.13,AURKAIP1,protein_coding,chr1,1374496,-,3
ENSG00000221978.12,CCNL2,protein_coding,chr1,1398336,-,2
ENSG00000224870.7,MRPL20-AS1,lncRNA,chr1,1398520,+,6
ENSG00000242485.6,MRPL20,protein_coding,chr1,1406294,-,2
ENSG00000272455.1,AL391244.2,lncRNA,chr1,1408096,+,1
ENSG00000235098.8,ANKRD65,protein_coding,chr1,1420770,-,0
ENSG00000225905.1,AL391244.1,lncRNA,chr1,1419245,+,3
ENSG00000205116.3,TMEM88B,protein_coding,chr1,1425128,+,4
ENSG00000225285.1,LINC01770,lncRNA,chr1,1433574,-,2
ENSG00000179403.12,VWA1,protein_coding,chr1,1433861,+,6
ENSG00000215915.10,ATAD3C,protein_coding,chr1,1448689,+,1
ENSG00000160072.20,ATAD3B,protein_coding,chr1,1470765,+,6
ENSG00000197785.14,ATAD3A,protein_coding,chr1,1511162,+,6
ENSG00000205090.9,TMEM240,protein_coding,chr1,1539625,-,0
ENSG00000160075.12,SSU72,protein_coding,chr1,1573864,-,2
ENSG00000215014.5,AL645728.1,lncRNA,chr1,1573102,+,6
ENSG00000228594.4,FNDC10,protein_coding,chr1,1599136,-,0
ENSG00000286989.1,AL691432.4,lncRNA,chr1,1599314,+,3
ENSG00000272106.1,AL691432.2,lncRNA,chr1,1614796,-,2
ENSG00000197530.12,MIB2,protein_coding,chr1,1614415,+,6
ENSG00000189409.14,MMP23B,protein_coding,chr1,1631163,+,1
ENSG00000248333.8,CDK11B,protein_coding,chr1,1658013,-,1
ENSG00000272004.1,FO704657.1,lncRNA,chr1,1658325,+,5
ENSG00000189339.12,SLC35E2B,protein_coding,chr1,1691796,-,0
ENSG00000008128.23,CDK11A,protein_coding,chr1,1723358,-,2
ENSG00000268575.1,AL031282.2,lncRNA,chr1,1736689,-,0
ENSG00000215790.7,SLC35E2A,protein_coding,chr1,1745000,-,1
ENSG00000008130.15,NADK,protein_coding,chr1,1779458,-,0
ENSG00000078369.18,GNB1,protein_coding,chr1,1890118,-,0
ENSG00000231050.1,AL109917.1,lncRNA,chr1,1890471,+,4
ENSG00000169885.10,CALML6,protein_coding,chr1,1914108,+,1
ENSG00000178821.13,TMEM52,protein_coding,chr1,1918280,-,1
ENSG00000142609.18,CFAP74,protein_coding,chr1,2002838,-,0
ENSG00000233542.2,AL391845.2,lncRNA,chr1,2014640,-,0
ENSG00000187730.9,GABRD,protein_coding,chr1,2018329,+,0
ENSG00000226969.1,AL391845.1,lncRNA,chr1,2049071,-,3
ENSG00000067606.17,PRKCZ,protein_coding,chr1,2049411,+,7
